tagcategory_id,title_de,title_en,suggestion,created_by
1,Maschinenbau,Maschinenbau,yes,0
1,Mathematik,Mathematik,yes,0
1,Matlab,Matlab,yes,0
1,Mediation,Mediation,yes,0
1,Menschen,Menschen,yes,0
1,Menschenkenntnis,Menschenkenntnis,yes,0
1,Mentor,Mentor,yes,0
1,Merchandising,Merchandising,yes,0
1,Microsoft Excel,Microsoft Excel,yes,0
1,Microsoft Office,Microsoft Office,yes,0
1,Microsoft Outlook,Microsoft Outlook,yes,0
1,Microsoft Powerpoint,Microsoft Powerpoint,yes,0
1,Microsoft Word,Microsoft Word,yes,0
1,Mobile,Mobile,yes,0
1,Moderation,Moderation,yes,0
1,Moderation,Moderation,yes,0
1,Motivation,Motivation,yes,0
1,Motivierungsvermögen,Motivierungsvermögen,yes,0
1,Motorrad,Motorrad,yes,0
1,Motorsport,Motorsport,yes,0
1,MTM,MTM,yes,0
1,Musik,Musik,yes,0
1,MySQL,MySQL,yes,0
1,Nachhaltigkeit,Nachhaltigkeit,yes,0
1,Networking,Networking,yes,0
1,Netzwerk,Netzwerk,yes,0
1,Neugier,Neugier,yes,0
1,NLP,NLP,yes,0
1,Nonverbale Sensibilität,Nonverbale Sensibilität,yes,0
1,Normen,Normen,yes,0
1,Oracle,Oracle,yes,0
1,Organisationstalent,Organisationstalent,yes,0
1,OS,OS,yes,0
1,Pädagogik,Pädagogik,yes,0
1,Payment,Payment,yes,0
1,Personalführung,Personalführung,yes,0
1,Persönlichkeit,Persönlichkeit,yes,0
1,Photoshop,Photoshop,yes,0
1,Photovoltaik,Photovoltaik,yes,0
1,PHP,PHP,yes,0
1,PHP,PHP,yes,0
1,Physik,Physik,yes,0
1,Pivot-Tabelle,Pivot-Tabelle,yes,0
1,Planung,Planung,yes,0
1,Politik,Politik,yes,0
1,PR / Öffentlichkeitsarbeit,PR / Öffentlichkeitsarbeit,yes,0
1,Präsentation,Präsentation,yes,0
1,Präsentation,Präsentation,yes,0
1,Problemlösen,Problemlösen,yes,0
1,Produktionsplanung,Produktionsplanung,yes,0
1,Produktionsprozess,Produktionsprozess,yes,0
1,Projektleitung,Projektleitung,yes,0
1,Projektmanagement,Projektmanagement,yes,0
1,Projektstrukturplan,Projektstrukturplan,yes,0
1,Prozesssimulation,Prozesssimulation,yes,0
1,Prüfplan,Prüfplan,yes,0
1,Pünktlickkeit,Pünktlickkeit,yes,0
1,Qigong,Qigong,yes,0
1,Qualifizierung,Qualifizierung,yes,0
1,Qualitätskontrolle,Qualitätskontrolle,yes,0
1,Qualitätslenkung,Qualitätslenkung,yes,0
1,Qualitätsmanagement,Qualitätsmanagement,yes,0
1,QuarkXPress,QuarkXPress,yes,0
1,Recruiting,Recruiting,yes,0
1,Redaktion,Redaktion,yes,0
1,REFA,REFA,yes,0
1,Regelungstechnik,Regelungstechnik,yes,0
1,Reifen,Reifen,yes,0
1,Reisen,Reisen,yes,0
1,Reporting,Reporting,yes,0
1,Responsive Design,Responsive Design,yes,0
1,Responsiveness,Responsiveness,yes,0
1,REST,REST,yes,0
1,Retail,Retail,yes,0
1,Rhetorik,Rhetorik,yes,0
1,Risikomanagement,Risikomanagement,yes,0
1,Robotik,Robotik,yes,0
1,Ruhe,Ruhe,yes,0
1,Sales,Sales,yes,0
1,SASS,SASS,yes,0
1,Schauspielerei,Schauspielerei,yes,0
1,Schemazeichnung,Schemazeichnung,yes,0
1,Schlagfertigkeit,Schlagfertigkeit,yes,0
1,Schreiben,Schreiben,yes,0
1,Selbstbewusstsein,Selbstbewusstsein,yes,0
1,Selbstvermarktungsfähigkeit,Selbstvermarktungsfähigkeit,yes,0
1,SEM,SEM,yes,0
1,SEO,SEO,yes,0
1,Service,Service,yes,0
1,Simulation,Simulation,yes,0
