title_de,title_en
Hauptschulabschluss,Hauptschulabschluss
Qual. Hauptschulabschluss,Qual. Hauptschulabschluss
Mittl. Bildungsabschluss,Mittl. Bildungsabschluss
Fachabitur,Fachabitur
Abitur,Abitur
Ausbildung,Ausbildung
Bachelor,Bachelor
Diplom,Diplom
Diplom (BA),Diplom (BA)
Diplom (FH),Diplom (FH)
Lehramt,Lehramt
Magister,Magister
Master,Master
Promotion,Promotion
ohne Abschluss,ohne Abschluss
Sonstiges,Sonstiges
Staatl. Abschluss,Staatl. Abschluss
Staatsexamen,Staatsexamen
Vordiplom,Vordiplom
