title_de,title_en
Bürogehilf(e/in) ,Bürogehilf(e/in) 
Büroinformationselektroniker/in ,Büroinformationselektroniker/in 
Büroinformationselektronikermeister/in ,Büroinformationselektronikermeister/in 
Bürokaufmann/-frau ,Bürokaufmann/-frau 
Bürokraft (§66 BBiG/§42m HWO) ,Bürokraft (§66 BBiG/§42m HWO) 
Bürokraft/Kaufmännische Fachkraft,Bürokraft/Kaufmännische Fachkraft
Büroleiter/in - Handwerk,Büroleiter/in - Handwerk
Büromaschinenmechaniker/in ,Büromaschinenmechaniker/in 
Büromaschinenmechanikermeister/in ,Büromaschinenmechanikermeister/in 
Bürovorsteher/in (Rechtsanwaltskanzlei/Notariat) ,Bürovorsteher/in (Rechtsanwaltskanzlei/Notariat) 
Bürsten- u. Pinselfacharbeiter/in ,Bürsten- u. Pinselfacharbeiter/in 
Bürsten- u. Pinselmachermeister/in ,Bürsten- u. Pinselmachermeister/in 
Bürsten- und Pinselmacher/in,Bürsten- und Pinselmacher/in
Bürsten- und Pinselmacher/in - Bürstenherstellung,Bürsten- und Pinselmacher/in - Bürstenherstellung
Bürsten- und Pinselmacher/in - Pinselherstellung,Bürsten- und Pinselmacher/in - Pinselherstellung
"Bürsteneinzieher/in (-> nicht aktuell, wird künftig beschrieben)","Bürsteneinzieher/in (-> nicht aktuell, wird künftig beschrieben)"
Busfahrer/in,Busfahrer/in
Business-Development-Manager/in,Business-Development-Manager/in
Büttenpapiermacher/in ,Büttenpapiermacher/in 
Butterbereiter/in ,Butterbereiter/in 
"Büttgesell(e/in) Papier-, Zellstoffherstellung ","Büttgesell(e/in) Papier-, Zellstoffherstellung "
Byzantinist/in,Byzantinist/in
CAD-Fachkraft,CAD-Fachkraft
CAD-Fachkraft - Bau,CAD-Fachkraft - Bau
CAD-Fachkraft - Elektrotechnik,CAD-Fachkraft - Elektrotechnik
CAD-Fachkraft - Holz ,CAD-Fachkraft - Holz 
CAD-Fachkraft - Maschinenbau ,CAD-Fachkraft - Maschinenbau 
CAD-Fachkraft - Metall,CAD-Fachkraft - Metall
CAD-Fachkraft (ohne Schwerpunkt),CAD-Fachkraft (ohne Schwerpunkt)
CAD-Fachwirt/in ,CAD-Fachwirt/in 
CAD-Organisator/in ,CAD-Organisator/in 
Callcenteragent/in,Callcenteragent/in
Callcentercontroller/in,Callcentercontroller/in
CAM-Organisator/in,CAM-Organisator/in
Campaigner/in,Campaigner/in
Casting-Direktor/in,Casting-Direktor/in
Category-Manager/in,Category-Manager/in
Catering-Manager/in,Catering-Manager/in
Checkkapitän/in,Checkkapitän/in
Chef de rang,Chef de rang
Chefarzt/-ärztin,Chefarzt/-ärztin
Chefkoch/-köchin ,Chefkoch/-köchin 
Chefpilot/in,Chefpilot/in
Chefportier (Hotel) ,Chefportier (Hotel) 
Chefredakteur/in,Chefredakteur/in
Chemie (grundständig),Chemie (grundständig)
Chemie (weiterführend),Chemie (weiterführend)
Chemiebetriebsjungwerker/in ,Chemiebetriebsjungwerker/in 
Chemiefacharbeiter/in ,Chemiefacharbeiter/in 
Chemiefaserfacharbeiter/in ,Chemiefaserfacharbeiter/in 
Chemieingenieur/in (FS) - Laboratoriumstechnik der Chemie ,Chemieingenieur/in (FS) - Laboratoriumstechnik der Chemie 
Chemieingenieur/in (FS) - Techn. anorgan./organischen Chemie ,Chemieingenieur/in (FS) - Techn. anorgan./organischen Chemie 
Chemieingenieurwesen (grundständig),Chemieingenieurwesen (grundständig)
Chemieingenieurwesen (weiterführend),Chemieingenieurwesen (weiterführend)
Chemielaborant/in,Chemielaborant/in
Chemielaborant/in - Chemie ,Chemielaborant/in - Chemie 
Chemielaborant/in - Kohle ,Chemielaborant/in - Kohle 
Chemielaborant/in - Metalle ,Chemielaborant/in - Metalle 
Chemielaborant/in - Silikat ,Chemielaborant/in - Silikat 
Chemielaborjungwerker/in,Chemielaborjungwerker/in
Chemigraf/in ,Chemigraf/in 
Chemikant/in,Chemikant/in
Chemiker/in,Chemiker/in
Chemiker/in - allgemeine Chemie ,Chemiker/in - allgemeine Chemie 
Chemiker/in - Kriminaltechnik ,Chemiker/in - Kriminaltechnik 
Chemiker/in - Lebensmittelchemie ,Chemiker/in - Lebensmittelchemie 
Chemiker/in - Polymerchemie ,Chemiker/in - Polymerchemie 
Chemiker/in - Wirtschaftschemie ,Chemiker/in - Wirtschaftschemie 
Chemische Biologie (grundständig),Chemische Biologie (grundständig)
Chemische Biologie (weiterführend),Chemische Biologie (weiterführend)
Chemischreiniger/in (Textilreinigung) ,Chemischreiniger/in (Textilreinigung) 
Chemisch-technische/r Assistent/in,Chemisch-technische/r Assistent/in
Chiefsteward/-stewardess,Chiefsteward/-stewardess
Chirurgieinstrumentenmacher/in ,Chirurgieinstrumentenmacher/in 
Chirurgiemechaniker/in,Chirurgiemechaniker/in
Chirurgiemechanikermeister/in,Chirurgiemechanikermeister/in
Choreograf/in,Choreograf/in
Choreografie (weiterführend),Choreografie (weiterführend)
Chorsänger/in,Chorsänger/in
City-/Flächen-Manager/in,City-/Flächen-Manager/in
Clown/in,Clown/in
CNC-Bohrer/in,CNC-Bohrer/in
CNC-Dreher/in,CNC-Dreher/in
CNC-Fachkraft/NC-Anwendungsfachmann/-frau,CNC-Fachkraft/NC-Anwendungsfachmann/-frau
CNC-Fräser/in,CNC-Fräser/in
CNC-Programmierer/in ,CNC-Programmierer/in 
CNC-Schleifer/in,CNC-Schleifer/in
"Coaching, Beratung, Supervision (grundständig)","Coaching, Beratung, Supervision (grundständig)"
"Coaching, Beratung, Supervision (weiterführend)","Coaching, Beratung, Supervision (weiterführend)"
Comedian ,Comedian 
Comic-Zeichner/in,Comic-Zeichner/in
Community-Manager/in,Community-Manager/in
Compliance-Manager/in,Compliance-Manager/in
Computer-Animator/in,Computer-Animator/in
Computergrafiker/in ,Computergrafiker/in 
Computerlinguist/in,Computerlinguist/in
Computerlinguist/in (Uni) ,Computerlinguist/in (Uni) 
Computerlinguistik (grundständig),Computerlinguistik (grundständig)
Computerlinguistik (weiterführend),Computerlinguistik (weiterführend)
Computermathematik (grundständig),Computermathematik (grundständig)
Computermathematik (weiterführend),Computermathematik (weiterführend)
Computermathematiker/in ,Computermathematiker/in 
Computervisualist/in,Computervisualist/in
Computervisualistik (grundständig),Computervisualistik (grundständig)
Computervisualistik (weiterführend),Computervisualistik (weiterführend)
Conférencier/Conférencieuse ,Conférencier/Conférencieuse 
Content-Manager/in,Content-Manager/in
Continuity-Person,Continuity-Person
Controller/in,Controller/in
Controller/in - IHK ,Controller/in - IHK 
Co-Pilot/in,Co-Pilot/in
Corporate Profiler/in,Corporate Profiler/in
Croupier/Croupière,Croupier/Croupière
Cutter/in ,Cutter/in 
Cutter-Assistent/in ,Cutter-Assistent/in 
CVJM-Sekretär/in,CVJM-Sekretär/in
Dachabdichter/in,Dachabdichter/in
Dachdecker/in,Dachdecker/in
"Dachdecker/in - Dach-, Wand- und Abdichtungstechnik","Dachdecker/in - Dach-, Wand- und Abdichtungstechnik"
Dachdecker/in - Reetdachtechnik,Dachdecker/in - Reetdachtechnik
Dachdecker/in und Bauklempner/in,Dachdecker/in und Bauklempner/in
Dachdeckerhelfer/in ,Dachdeckerhelfer/in 
Dachdeckermeister/in,Dachdeckermeister/in
Dachinstandsetzer/in ,Dachinstandsetzer/in 
Damaszierer/in ,Damaszierer/in 
Damenfriseur/in,Damenfriseur/in
Damenmaßschneider/in ,Damenmaßschneider/in 
Damenschneider/in ,Damenschneider/in 
Damenschneidermeister/in ,Damenschneidermeister/in 
Dampfmaschinist/in ,Dampfmaschinist/in 
Darmsaitenmacher/in ,Darmsaitenmacher/in 
Data-Warehouse-Analyst/in,Data-Warehouse-Analyst/in
Datenbankadministrator/in ,Datenbankadministrator/in 
Datenbankentwickler/in ,Datenbankentwickler/in 
Datenbankmanager/in ,Datenbankmanager/in 
Datenerfasser/in,Datenerfasser/in
Datenschutzbeauftragte/r,Datenschutzbeauftragte/r
Datentechnische/r Assistent/in ,Datentechnische/r Assistent/in 
Datentypist/in ,Datentypist/in 
Datenverarbeitungsfachmann/-frau ,Datenverarbeitungsfachmann/-frau 
Datenverarbeitungskaufmann/-frau ,Datenverarbeitungskaufmann/-frau 
Deckenmacher/in ,Deckenmacher/in 
Deckshelfer/in ,Deckshelfer/in 
Decksmann/-frau - Koch ,Decksmann/-frau - Koch 
Decksmann/-frau (Seeschifffahrt),Decksmann/-frau (Seeschifffahrt)
Deichmeister/in ,Deichmeister/in 
Dekateur/in ,Dekateur/in 
Dekontaminateur/in,Dekontaminateur/in
Dekorateur/in ,Dekorateur/in 
"Dekorationen-, Schildermaler-/Prägerhelfer/in ","Dekorationen-, Schildermaler-/Prägerhelfer/in "
Dekorationenmaler/in ,Dekorationenmaler/in 
Dekorentwerfer/in ,Dekorentwerfer/in 
Dekorvorlagenhersteller/in ,Dekorvorlagenhersteller/in 
Demichef de rang,Demichef de rang
Demichef d'étage,Demichef d'étage
Demichef-Patisserie ,Demichef-Patisserie 
Demograf/in,Demograf/in
Denkmalpflege (weiterführend),Denkmalpflege (weiterführend)
Denkmalpfleger/in,Denkmalpfleger/in
Denkmaltechnische/r Assistent/in,Denkmaltechnische/r Assistent/in
Dentalhygiene (grundständig),Dentalhygiene (grundständig)
Dentalhygieniker/in,Dentalhygieniker/in
Deponieleiter/in,Deponieleiter/in
Derivatehändler/in (Uni) ,Derivatehändler/in (Uni) 
Design (grundständig),Design (grundständig)
Design (weiterführend),Design (weiterführend)
"Designer/in (Ausbildung) - angew.Formg.,Schmuck/Gerät","Designer/in (Ausbildung) - angew.Formg.,Schmuck/Gerät"
Designer/in (Ausbildung) - Foto,Designer/in (Ausbildung) - Foto
Designer/in (Ausbildung) - Grafik,Designer/in (Ausbildung) - Grafik
Designer/in (Ausbildung) - Kommunikationsdesign,Designer/in (Ausbildung) - Kommunikationsdesign
Designer/in (Ausbildung) - Medien,Designer/in (Ausbildung) - Medien
Designer/in (Ausbildung) - Mode,Designer/in (Ausbildung) - Mode
Designer/in (Fachschule) - Informationsdesign ,Designer/in (Fachschule) - Informationsdesign 
Designer/in (Hochschule),Designer/in (Hochschule)
Designer/in (Hochschule) - Fotodesign ,Designer/in (Hochschule) - Fotodesign 
Designer/in (Hochschule) - Grafikdesign ,Designer/in (Hochschule) - Grafikdesign 
Designer/in (Hochschule) - Industriedesign ,Designer/in (Hochschule) - Industriedesign 
Designer/in (Hochschule) - Kommunikationsdesign ,Designer/in (Hochschule) - Kommunikationsdesign 
Designer/in (Hochschule) - Mediendesign ,Designer/in (Hochschule) - Mediendesign 
Designer/in (Hochschule) - Modedesign ,Designer/in (Hochschule) - Modedesign 
Designer/in (Hochschule) - Produktdesign ,Designer/in (Hochschule) - Produktdesign 
Designer/in (Hochschule) - Schmuckdesign ,Designer/in (Hochschule) - Schmuckdesign 
Designer/in (Hochschule) - Textildesign ,Designer/in (Hochschule) - Textildesign 
"Designer/in (staatl.gepr.) - Farbe,Gestaltung,Werbung ","Designer/in (staatl.gepr.) - Farbe,Gestaltung,Werbung "
Desinfektor/in,Desinfektor/in
Destillatbrenner/in ,Destillatbrenner/in 
Destillateur/in,Destillateur/in
Destillateurmeister/in,Destillateurmeister/in
Detailkonstrukteur/in,Detailkonstrukteur/in
Detailkonstrukteur/in (Elektromechanik) ,Detailkonstrukteur/in (Elektromechanik) 
Detailkonstrukteur/in (Erzeugende Mechanik) ,Detailkonstrukteur/in (Erzeugende Mechanik) 
Detailkonstrukteur/in (Feingeräteelektronik) ,Detailkonstrukteur/in (Feingeräteelektronik) 
Detailkonstrukteur/in (Fluggerätelektronik) ,Detailkonstrukteur/in (Fluggerätelektronik) 
Detailkonstrukteur/in (Funktechnik) ,Detailkonstrukteur/in (Funktechnik) 
Detailkonstrukteur/in (Geräteelektronik) ,Detailkonstrukteur/in (Geräteelektronik) 
Detailkonstrukteur/in (Informationselektronik) ,Detailkonstrukteur/in (Informationselektronik) 
Detailkonstrukteur/in (Maschinen-/Anlagenbau) ,Detailkonstrukteur/in (Maschinen-/Anlagenbau) 
Detailkonstrukteur/in (Mechatronische Systeme) ,Detailkonstrukteur/in (Mechatronische Systeme) 
Detailkonstrukteur/in (Metall-/Schiffbautechnik) ,Detailkonstrukteur/in (Metall-/Schiffbautechnik) 
Detailkonstrukteur/in (Produktionstechnik) ,Detailkonstrukteur/in (Produktionstechnik) 
Detailkonstrukteur/in (Waagenbau) ,Detailkonstrukteur/in (Waagenbau) 
"Detailkonstrukteur/in (Werkzeugmasch.bau,Stanz-,Umformt.) ","Detailkonstrukteur/in (Werkzeugmasch.bau,Stanz-,Umformt.) "
Detektiv/in,Detektiv/in
Deutsch als Zweit-/Fremdsprache (grundständig),Deutsch als Zweit-/Fremdsprache (grundständig)
Deutsch als Zweit-/Fremdsprache (weiterführend),Deutsch als Zweit-/Fremdsprache (weiterführend)
Devisenberater/in ,Devisenberater/in 
Devisenhändler/in ,Devisenhändler/in 
Devisensachbearbeiter/in ,Devisensachbearbeiter/in 
Diabetesberater/in,Diabetesberater/in
Diakon (katholisch),Diakon (katholisch)
Diakon/in (evangelisch),Diakon/in (evangelisch)
Diakon/in (Sozialarbeit),Diakon/in (Sozialarbeit)
Diakonisse (Sozialarbeit),Diakonisse (Sozialarbeit)
Diamantschleifer/in,Diamantschleifer/in
Diamantziehsteinmacher/in ,Diamantziehsteinmacher/in 
Diätassistent/in,Diätassistent/in
Diätberater/in,Diätberater/in
Diätetik (grundständig),Diätetik (grundständig)
Diätkoch/-köchin,Diätkoch/-köchin
Diätlehrassistent/in ,Diätlehrassistent/in 
Diener/in ,Diener/in 
"Dienstleistungs-, Servicemanagement (grundständig)","Dienstleistungs-, Servicemanagement (grundständig)"
"Dienstleistungs-, Servicemanagement (weiterführend)","Dienstleistungs-, Servicemanagement (weiterführend)"
Dienstleistungsfachkraft - Postbetrieb ,Dienstleistungsfachkraft - Postbetrieb 
Dienstwagenfahrer/in,Dienstwagenfahrer/in
Dieselmaschinist/in ,Dieselmaschinist/in 
Digitale Geisteswissenschaften/Computerphilologie (grundst.),Digitale Geisteswissenschaften/Computerphilologie (grundst.)
Digitale Geisteswissenschaften/Computerphilologie (weiterf.),Digitale Geisteswissenschaften/Computerphilologie (weiterf.)
Dipl.Agraring./Dipl.Landwirt/in (Uni) - Agrochemie/Pflanzens ,Dipl.Agraring./Dipl.Landwirt/in (Uni) - Agrochemie/Pflanzens 
Dipl.-Agraring./Dipl.-Landwirt/in (Uni) - Pflanzenproduktion ,Dipl.-Agraring./Dipl.-Landwirt/in (Uni) - Pflanzenproduktion 
Dipl.-Agraring./Dipl.Landwirt/in (Uni) - Tierproduktion ,Dipl.-Agraring./Dipl.Landwirt/in (Uni) - Tierproduktion 
Dipl.Agraring./in (Uni) - Tropische u. subtrop. Landwirtsch. ,Dipl.Agraring./in (Uni) - Tropische u. subtrop. Landwirtsch. 
Dipl.-Agraring./-Landw.(Uni) - Pflanzenzücht./Saatgutprod. ,Dipl.-Agraring./-Landw.(Uni) - Pflanzenzücht./Saatgutprod. 
Dipl.-Albanologe/-Albanologin (Uni) ,Dipl.-Albanologe/-Albanologin (Uni) 
Dipl.-Archivar/in ,Dipl.-Archivar/in 
Dipl.-Archivar/in (FH) ,Dipl.-Archivar/in (FH) 
Dipl.-Baltist/in (Uni) ,Dipl.-Baltist/in (Uni) 
Dipl.-Berufspädagoge/-pädagogin (Uni) - gewerblich ,Dipl.-Berufspädagoge/-pädagogin (Uni) - gewerblich 
Dipl.-Berufspädagoge/-pädagogin (Uni) - kaufmännisch ,Dipl.-Berufspädagoge/-pädagogin (Uni) - kaufmännisch 
Dipl.-Betriebswirt/in (BA) ,Dipl.-Betriebswirt/in (BA) 
Dipl.-Betriebswirt/in (BA) - Bank ,Dipl.-Betriebswirt/in (BA) - Bank 
Dipl.-Betriebswirt/in (BA) - Dienstleistungsmanagement ,Dipl.-Betriebswirt/in (BA) - Dienstleistungsmanagement 
Dipl.-Betriebswirt/in (BA) - Dienstleistungsmarketing ,Dipl.-Betriebswirt/in (BA) - Dienstleistungsmarketing 
Dipl.-Betriebswirt/in (BA) - Finanzdienstleistungen/Bank ,Dipl.-Betriebswirt/in (BA) - Finanzdienstleistungen/Bank 
Dipl.-Betriebswirt/in (BA) - Gesundheits-/Krankenhauswesen ,Dipl.-Betriebswirt/in (BA) - Gesundheits-/Krankenhauswesen 
Dipl.-Betriebswirt/in (BA) - Handel ,Dipl.-Betriebswirt/in (BA) - Handel 
Dipl.-Betriebswirt/in (BA) - Handwerk ,Dipl.-Betriebswirt/in (BA) - Handwerk 
Dipl.-Betriebswirt/in (BA) - Hotelmanagement ,Dipl.-Betriebswirt/in (BA) - Hotelmanagement 
Dipl.-Betriebswirt/in (BA) - Immobilienwirtschaft ,Dipl.-Betriebswirt/in (BA) - Immobilienwirtschaft 
Dipl.-Betriebswirt/in (BA) - Industrie ,Dipl.-Betriebswirt/in (BA) - Industrie 
Dipl.-Betriebswirt/in (BA) - International Business Admin. ,Dipl.-Betriebswirt/in (BA) - International Business Admin. 
Dipl.-Betriebswirt/in (BA) - Internationales Marketing ,Dipl.-Betriebswirt/in (BA) - Internationales Marketing 
Dipl.-Betriebswirt/in (BA) - Medien und Kommunikation ,Dipl.-Betriebswirt/in (BA) - Medien und Kommunikation 
Dipl.-Betriebswirt/in (BA) - Messe- und Kongressmanagement ,Dipl.-Betriebswirt/in (BA) - Messe- und Kongressmanagement 
Dipl.-Betriebswirt/in (BA) - Öffentliche Wirtschaft ,Dipl.-Betriebswirt/in (BA) - Öffentliche Wirtschaft 
Dipl.-Betriebswirt/in (BA) - Spedition/Transport/Logistik ,Dipl.-Betriebswirt/in (BA) - Spedition/Transport/Logistik 
Dipl.-Betriebswirt/in (BA) - Sport/Veranstaltung/Marketing ,Dipl.-Betriebswirt/in (BA) - Sport/Veranstaltung/Marketing 
Dipl.-Betriebswirt/in (BA) - Steuern und Prüfungswesen ,Dipl.-Betriebswirt/in (BA) - Steuern und Prüfungswesen 
Dipl.-Betriebswirt/in (BA) - Tourismus/Fremdenverkehrswirt. ,Dipl.-Betriebswirt/in (BA) - Tourismus/Fremdenverkehrswirt. 
Dipl.-Betriebswirt/in (BA) - Versicherung ,Dipl.-Betriebswirt/in (BA) - Versicherung 
Dipl.-Betriebswirt/in (BA) - Warenwirtschaft/Logistik ,Dipl.-Betriebswirt/in (BA) - Warenwirtschaft/Logistik 
Dipl.-Betriebswirt/in (BA) - Wirtschaftsinformatik ,Dipl.-Betriebswirt/in (BA) - Wirtschaftsinformatik 
Dipl.-Betriebswirt/in (FH) - Bank ,Dipl.-Betriebswirt/in (FH) - Bank 
Dipl.-Betriebswirt/in (FH) - Bau ,Dipl.-Betriebswirt/in (FH) - Bau 
Dipl.-Betriebswirt/in (FH) - Gesundheitsmanagement ,Dipl.-Betriebswirt/in (FH) - Gesundheitsmanagement 
Dipl.-Betriebswirt/in (FH) - Immobilien ,Dipl.-Betriebswirt/in (FH) - Immobilien 
Dipl.-Betriebswirt/in (FH) - Informationsmanagement ,Dipl.-Betriebswirt/in (FH) - Informationsmanagement 
Dipl.-Betriebswirt/in (FH) - Marketing ,Dipl.-Betriebswirt/in (FH) - Marketing 
Dipl.-Betriebswirt/in (FH) - Marketing und Vertrieb ,Dipl.-Betriebswirt/in (FH) - Marketing und Vertrieb 
Dipl.-Betriebswirt/in (FH) - Markt- und Kommunikationsforsch ,Dipl.-Betriebswirt/in (FH) - Markt- und Kommunikationsforsch 
Dipl.-Betriebswirt/in (FH) - Personalmanagement ,Dipl.-Betriebswirt/in (FH) - Personalmanagement 
Dipl.-Betriebswirt/in (FH) - Steuern und Prüfungswesen ,Dipl.-Betriebswirt/in (FH) - Steuern und Prüfungswesen 
"Dipl.-Betriebswirt/in (FH) - Tourismus,Hotel-,Gaststättenw. ","Dipl.-Betriebswirt/in (FH) - Tourismus,Hotel-,Gaststättenw. "
Dipl.-Betriebswirt/in (FH) - Tourismusmanagement ,Dipl.-Betriebswirt/in (FH) - Tourismusmanagement 
Dipl.-Betriebswirt/in (FH) - Umweltökonomie ,Dipl.-Betriebswirt/in (FH) - Umweltökonomie 
Dipl.-Betriebswirt/in/ Dipl.-Kaufmann/-frau (FH) - Versicher ,Dipl.-Betriebswirt/in/ Dipl.-Kaufmann/-frau (FH) - Versicher 
Dipl.-Betriebswirt/in/Dipl.-Kaufmann/-frau - E-Business ,Dipl.-Betriebswirt/in/Dipl.-Kaufmann/-frau - E-Business 
Dipl.-Betriebswirt/in/Dipl.-Kaufmann/-frau - Logistik ,Dipl.-Betriebswirt/in/Dipl.-Kaufmann/-frau - Logistik 
"Dipl.-Betriebswirt/in/Dipl.-Kaufmann/-frau (FH) - Logistik (-> nicht aktuell, wird künftig beschrieben)","Dipl.-Betriebswirt/in/Dipl.-Kaufmann/-frau (FH) - Logistik (-> nicht aktuell, wird künftig beschrieben)"
Dipl.-Betriebswirt/in/Dipl.-Kaufmann/-frau (FH) - Versicheru ,Dipl.-Betriebswirt/in/Dipl.-Kaufmann/-frau (FH) - Versicheru 
Dipl.-Betriebswirt/in/Dipl.-Kaufmann/-frau (FH)Verwaltungsm. ,Dipl.-Betriebswirt/in/Dipl.-Kaufmann/-frau (FH)Verwaltungsm. 
Dipl.-Betriebswirt/in/Dipl.-Kaufmann/-frau(FH) ,Dipl.-Betriebswirt/in/Dipl.-Kaufmann/-frau(FH) 
Dipl.-Betriebswirt/in/Dipl.-Kaufmann/-frau(FH) - Wirtsch./Re ,Dipl.-Betriebswirt/in/Dipl.-Kaufmann/-frau(FH) - Wirtsch./Re 
Dipl.-Betriebswirt/in/Dipl.-Kaufmann/-frau(FH)-Logistik ,Dipl.-Betriebswirt/in/Dipl.-Kaufmann/-frau(FH)-Logistik 
Dipl.-Bibliothekar/in (FH) ,Dipl.-Bibliothekar/in (FH) 
Dipl.-Biochemiker/in (Uni) ,Dipl.-Biochemiker/in (Uni) 
Dipl.-Biologe/-Biologin (Uni) ,Dipl.-Biologe/-Biologin (Uni) 
Dipl.-Braumeister/in ,Dipl.-Braumeister/in 
Dipl.-Braumeister/in (Uni) ,Dipl.-Braumeister/in (Uni) 
Dipl.-Buchhandelswirt/in (FH) ,Dipl.-Buchhandelswirt/in (FH) 
Dipl.-Buchhändler/in (Uni) ,Dipl.-Buchhändler/in (Uni) 
Dipl.-Chemiker/in (Uni) ,Dipl.-Chemiker/in (Uni) 
Dipl.-Chemiker/in (Uni) - Synthesechemie ,Dipl.-Chemiker/in (Uni) - Synthesechemie 
Dipl.-Chemiker/in (Uni) - Theoret. und Physikalische Chemie ,Dipl.-Chemiker/in (Uni) - Theoret. und Physikalische Chemie 
Dipl.-Chemiker/in (Uni) - Verfahrenschemie ,Dipl.-Chemiker/in (Uni) - Verfahrenschemie 
Dipl.-Choreograph/in (Uni) ,Dipl.-Choreograph/in (Uni) 
Dipl.-Designer/in (FH) - Foto ,Dipl.-Designer/in (FH) - Foto 
Dipl.-Designer/in (FH) - Maskenbild ,Dipl.-Designer/in (FH) - Maskenbild 
Dipl.-Designer/in (FH) - Media System ,Dipl.-Designer/in (FH) - Media System 
"Dipl.-Designer/in (FH) - Schmuck, Edelstein ","Dipl.-Designer/in (FH) - Schmuck, Edelstein "
Dipl.-Designer/in (FH/Uni) - Grafik ,Dipl.-Designer/in (FH/Uni) - Grafik 
Dipl.-Designer/in (FH/Uni) - Industrie-/Industrial-Design ,Dipl.-Designer/in (FH/Uni) - Industrie-/Industrial-Design 
Dipl.-Designer/in (FH/Uni) - Mode ,Dipl.-Designer/in (FH/Uni) - Mode 
"Dipl.-Designer/in (FH/Uni) - Produktdes.,Glas-,Keramikdes. ","Dipl.-Designer/in (FH/Uni) - Produktdes.,Glas-,Keramikdes. "
Dipl.-Designer/in (FH/Uni) - Textil ,Dipl.-Designer/in (FH/Uni) - Textil 
Dipl.-Designer/in/Dipl.-Gestalter/in (FH/Uni) - Medien ,Dipl.-Designer/in/Dipl.-Gestalter/in (FH/Uni) - Medien 
Dipl.-Design-Ingenieur/in (FH) - Textil/Mode ,Dipl.-Design-Ingenieur/in (FH) - Textil/Mode 
Dipl.-Dokumentar/in (FH)/Dipl.-Informationswirt/in (FH) ,Dipl.-Dokumentar/in (FH)/Dipl.-Informationswirt/in (FH) 
Dipl.-Ergotherapeut/in (FH) ,Dipl.-Ergotherapeut/in (FH) 
Dipl.-Ernährungsberater/in (BA) ,Dipl.-Ernährungsberater/in (BA) 
Dipl.-Ethnograph/in (Uni) ,Dipl.-Ethnograph/in (Uni) 
Dipl.-Fertigungsprozessinformatiker/in (BA) ,Dipl.-Fertigungsprozessinformatiker/in (BA) 
Dipl.-Finanzwirt/in (FH) ,Dipl.-Finanzwirt/in (FH) 
Dipl.-Fischereiing./in (Uni)-Fischproduktion ,Dipl.-Fischereiing./in (Uni)-Fischproduktion 
Dipl.-Fitnessökonom/in (BA) ,Dipl.-Fitnessökonom/in (BA) 
Dipl.-Forstwirt/in (Uni) ,Dipl.-Forstwirt/in (Uni) 
Dipl.-Gartenbauingenieur/in (Uni) - Gärtnerische Produktion ,Dipl.-Gartenbauingenieur/in (Uni) - Gärtnerische Produktion 
Dipl.-Geograph/in (Uni) ,Dipl.-Geograph/in (Uni) 
Dipl.-Geologe/-Geologin (Uni) ,Dipl.-Geologe/-Geologin (Uni) 
Dipl.Geologe/-in/Dipl.Geophysiker/-in (Uni) - Geophysik ,Dipl.Geologe/-in/Dipl.Geophysiker/-in (Uni) - Geophysik 
Dipl.Geologe/-in/Dipl.Mineraloge/-in (Uni)-Mineral./Geochem. ,Dipl.Geologe/-in/Dipl.Mineraloge/-in (Uni)-Mineral./Geochem. 
Dipl.-Geoökologe/-ökologin (Uni) ,Dipl.-Geoökologe/-ökologin (Uni) 
Dipl.-Geophysiker/in (Uni) ,Dipl.-Geophysiker/in (Uni) 
Dipl.-Gerontologe/-Gerontologin (Uni) ,Dipl.-Gerontologe/-Gerontologin (Uni) 
Dipl.-Gesundheitsmanager/in (BA) ,Dipl.-Gesundheitsmanager/in (BA) 
Dipl.-Gesundheitsökonom/in ,Dipl.-Gesundheitsökonom/in 
Dipl.-Gesundheitsökonom/in (FH) ,Dipl.-Gesundheitsökonom/in (FH) 
Dipl.-Gesundheitsökonom/in (Uni) ,Dipl.-Gesundheitsökonom/in (Uni) 
Dipl.-Gesundheitswirt/in (FH) ,Dipl.-Gesundheitswirt/in (FH) 
Dipl.-Handelslehrer/in (Uni) ,Dipl.-Handelslehrer/in (Uni) 
Dipl.-Heilpädagoge/-pädagogin (FH/Uni) ,Dipl.-Heilpädagoge/-pädagogin (FH/Uni) 
Dipl.-Holzwirt/in (Uni) ,Dipl.-Holzwirt/in (Uni) 
Dipl.-Hungarologe/-Hungarologin (Uni) ,Dipl.-Hungarologe/-Hungarologin (Uni) 
Dipl.-Informatiker/in ,Dipl.-Informatiker/in 
Dipl.-Informatiker/in - Bioinformatik ,Dipl.-Informatiker/in - Bioinformatik 
Dipl.-Informatiker/in - Medizinische Informatik ,Dipl.-Informatiker/in - Medizinische Informatik 
Dipl.-Informatiker/in - Wirtschaftsinformatik ,Dipl.-Informatiker/in - Wirtschaftsinformatik 
Dipl.-Informatiker/in (BA) ,Dipl.-Informatiker/in (BA) 
Dipl.-Informatiker/in (BA) - Angewandte Informatik ,Dipl.-Informatiker/in (BA) - Angewandte Informatik 
Dipl.-Informatiker/in (BA) - Bioinformatik ,Dipl.-Informatiker/in (BA) - Bioinformatik 
Dipl.-Informatiker/in (BA) - Medienproduktion ,Dipl.-Informatiker/in (BA) - Medienproduktion 
Dipl.-Informatiker/in (BA) - Medizinische Informatik ,Dipl.-Informatiker/in (BA) - Medizinische Informatik 
